coin_label,symbol1,symbol2,symbol3,symbol4,symbol5
219,391,467,178,295,1
220,391,467,178,295,2
220a,391,467,178,295,3
221,391,467,178,295,4
221a,391,467,178,295,6
221b,391,467,178,295,28
222,391,467,178,295,29
222a,391,467,178,295,30
222b,391,467,178,295,33
223,391,467,178,295,35
224,391,467,178,295,38
225,391,467,178,295,74
226,391,467,178,295,75
227,392,467,158,179,2
228,392,467,158,179,3
229,392,467,158,179,4
230,392,467,158,179,28
230a,392,467,158,179,29
230b,392,467,158,179,30
230c,392,467,158,179,34
230d,392,467,158,179,35
231,392,467,158,179,36
231a,392,467,158,179,37
231b,392,467,158,179,38
231c,392,467,158,179,42
232,392,467,158,179,45
232a,392,467,158,179,40
233,392,467,297,180,1
234,392,467,297,180,2
234a,392,467,297,180,3
235,392,467,297,180,4
236,392,467,297,180,28
237,392,467,297,180,29
237a,392,467,297,180,30
238,392,467,297,180,34
238a,392,467,297,180,35
239,392,467,297,180,37
239a,392,467,297,180,38
240,392,467,297,180,39
241,392,467,297,180,1
242,392,467,297,180,76
243,393,467,298,152,1
244,393,467,298,152,2
244a,393,467,298,152,3
245,393,467,298,152,4
246,393,467,298,152,29
247,393,467,298,152,30
247a,393,467,298,152,33
248,393,467,298,152,35
249,393,467,298,152,37
250,393,467,298,152,38
251,394,468,299,181,1
252,394,468,299,181,2
253,394,468,299,181,3
253a,394,468,299,181,4
254,394,468,299,181,28
255,394,468,299,181,29
256,394,468,299,181,30
256a,394,468,299,181,33
256b,394,468,299,181,35
256c,394,468,299,181,37
257,394,468,299,46,29
258,377,468,20,285,1
259,377,468,20,285,2
260,377,468,20,285,4
261,377,468,20,285,29
262,377,468,20,285,33
262a,377,468,20,285,35
262b,377,468,20,285,37
263,377,468,20,285,39
264,377,468,20,285,42
264a,377,468,20,285,58
264/1a,377,468,591,592,4
264/1b,377,468,591,592,28
264/1c,377,468,591,592,32
264/1d,377,468,591,592,36
264/1e,377,468,591,592,37
264/1f,377,468,591,592,43
264/1g,377,468,591,592,44
264/1h,377,468,591,592,61
264/1j,377,468,591,592,76
264/2a,392,467,593,77,1
264/2b,392,467,593,77,4
264/2c,392,467,593,77,30
264/2d,392,467,593,77,32
264/2e,392,467,593,77,35
264/3a,377,467,594,df,1
264/3b,377,467,594,df,4
264/3c,377,467,594,df,36
264/3d,377,467,594,df,df
264/4a,377,467,596,597,1
264/4b,377,467,596,597,28
264/4c,389,467,596,597,47
264/5a,389,467,83a,77,1
264/6a,392,467,598,156,1
264/6b,425,467,599,299,1
